LIGHTS82,24.2560,12.8320
LITDEF11,4.4800,23.2000
LITFLT01,15.0400,8.6400
LITFLT02,10.4640,4.2240
LITVES01,15.0400,19.8400
LITVES02,12.5440,6.4640
LNDARE01,3.9360,3.9360
LOCMAG01,4.2880,15.6480
LOCMAG51,9.2800,-68.0320
LOWACC01,40.0000,43.2000
MAGVAR01,4.0960,14.9440
MAGVAR51,8.7360,118.2080
MARCUL02,11.9360,7.1040
MONUMT02,6.9440,12.0000
MONUMT12,6.9440,12.0000
MORFAC03,5.2480,4.7680
MORFAC04,6.4000,16.7360
MSTCON04,5.4400,19.8400
MSTCON14,5.4400,19.8400
NORTHAR1,6.8160,27.0400
NOTBRD11,5.4400,13.4400
OBSTRN01,7.2000,7.2000
OBSTRN02,7.0400,7.0400
OBSTRN03,7.2000,7.2000
OBSTRN11,3.8400,3.8720
OFSPLF01,7.0400,7.0400
OSPONE02,7.2000,0.6400
OSPSIX02,6.8800,0.6080
OWNSHP01,16.8000,16.2560
OWNSHP05,7.0400,27.4560
PASTRK01,6.9760,0.6080
PASTRK02,6.9760,0.6080
PILBOP02,8.9280,9.2480
PILPNT02,3.8400,3.8400
PLNPOS01,-1.1520,0.6400
PLNPOS02,6.9760,0.6080
PLNSPD03,-4.9280,-3.0080
PLNSPD04,-4.9280,-3.0080
POSGEN01,7.0400,7.0400
POSGEN03,7.0400,7.0400
POSGEN04,3.8400,3.8400
POSITN02,10.2400,10.2400
PRCARE12,6.3040,10.0160
PRCARE51,17.0240,-27.6480
PRDINS02,8.8000,9.4400
PRICKE03,4.6400,14.5600
PRICKE04,5.1520,14.8480
QUAPOS01,4.8640,5.6320
QUARRY01,11.9040,13.6960
QUESMRK1,4.1600,7.7440
RACNSP01,10.3680,10.4000
RADRFL03,10.3680,10.4000
RASCAN01,7.1040,16.4480
RASCAN11,7.2640,16.3840
RCLDEF01,20.0640,17.1840
RCTLPT52,10.1440,22.8480
RDOCAL02,7.6160,17.2480
RDOCAL03,7.6160,17.2480
RDOSTA02,10.1440,10.0800
RECDEF51,28.6080,8.1280
RECTRC55,5.5360,28.2240
RECTRC56,5.5040,24.4800
RECTRC57,5.6320,16.4800
RECTRC58,5.6640,20.5120
REFPNT02,16.6400,16.6400
RETRFL01,-9.0240,11.6800
RETRFL02,-8.2880,5.9520
RFNERY01,11.5520,11.9360
RFNERY11,11.2640,12.0960
ROLROL01,12.3840,5.1840
RSCSTA02,8.6720,7.0400
RSRDEF51,63.9680,28.9280
RTLDEF51,20.4160,22.8480
RTPBCN02,10.9120,10.3680
SCALEB10,0.6400,64.6400
SCALEB11,0.6400,64.6400
SILBUI01,5.4400,5.4400
SILBUI11,5.4400,5.4400
SISTAT02,1.4080,1.4080
SMCFAC02,11.5200,11.6800
SNDWAV02,19.2000,3.8720
SOUNDG00,-0.9600,4.6400
SOUNDG01,-0.9600,4.6400
SOUNDG02,-0.9600,4.6400
SOUNDG03,-0.9600,4.6400
SOUNDG04,-0.9280,5.4400
SOUNDG05,-0.9600,4.6400
SOUNDG06,-0.9600,4.6400
SOUNDG07,-0.9600,4.6400
SOUNDG08,-0.9600,4.6400
SOUNDG09,-0.9600,4.6400
SOUNDG10,6.2400,4.6400
SOUNDG11,6.2400,4.6400
SOUNDG12,6.2400,4.6400
SOUNDG13,6.2400,4.6400
SOUNDG14,6.2400,5.4400
SOUNDG15,6.2400,4.6400
SOUNDG16,6.2400,4.6400
SOUNDG17,6.2400,3.8400
SOUNDG18,6.2400,4.6400
SOUNDG19,6.2400,4.6400
SOUNDG20,13.4400,4.6400
SOUNDG21,13.4400,4.6400
SOUNDG22,13.4400,4.6400
SOUNDG23,13.4400,4.6400
SOUNDG24,13.4400,5.4400
SOUNDG25,13.4400,4.6400
SOUNDG26,13.4400,4.6400
SOUNDG27,13.4400,3.8400
SOUNDG28,13.4400,4.6400
SOUNDG29,13.4400,4.6400
SOUNDG30,20.6400,4.6400
SOUNDG31,20.6400,4.6400
SOUNDG32,20.6400,4.6400
SOUNDG33,20.6400,4.6400
SOUNDG34,20.5760,5.4400
SOUNDG35,20.6400,4.6400
SOUNDG36,20.6400,4.6400
SOUNDG37,20.6400,3.8400
SOUNDG38,20.6400,4.6400
SOUNDG39,20.6400,4.6400
SOUNDG40,-8.1600,4.6400
SOUNDG41,-8.1600,4.6400
SOUNDG42,-8.1600,4.6400
SOUNDG43,-8.1600,4.6400
SOUNDG44,-8.1280,5.4400
SOUNDG45,-8.1600,4.6400
SOUNDG46,-8.1600,4.6400
SOUNDG47,-8.1600,4.6400
SOUNDG48,-8.1600,4.6400
SOUNDG49,-8.1600,4.6400
SOUNDG50,-0.9600,0.6400
SOUNDG51,-0.9600,0.6400
SOUNDG52,-0.9600,0.6400
SOUNDG53,-0.9600,0.6400
SOUNDG54,-0.9600,1.4400
SOUNDG55,-0.9600,0.6400
SOUNDG56,-0.9600,0.6400
SOUNDG57,-0.9600,0.6400
SOUNDG58,-0.9600,0.6400
SOUNDG59,-0.9600,0.6400
SOUNDGB1,13.7600,-5.0560
SOUNDGC2,14.3040,14.3040
SOUNDS00,-0.9600,4.6400
SOUNDS01,-0.9600,4.6400
SOUNDS02,-0.9600,4.6400
SOUNDS03,-0.9600,4.6400
SOUNDS04,-0.9280,5.4400
SOUNDS05,-0.9600,4.6400
SOUNDS06,-0.9600,4.6400
SOUNDS07,-0.9600,4.6400
SOUNDS08,-0.9600,4.6400
SOUNDS09,-0.9600,4.6400
SOUNDS10,6.2400,4.6400
SOUNDS11,6.2400,4.6400
SOUNDS12,6.2400,4.6400
SOUNDS13,6.2400,4.6400
SOUNDS14,6.2400,5.4400
SOUNDS15,6.2400,4.6400
SOUNDS16,6.2400,4.6400
